127.0.0.1 - - [10/Mar/2022:15:21:21 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:22 -0300] "GET /web-ucp-psg/LoginTUNEADO.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:22 -0300] "GET /web-ucp-psg/dist/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:22 -0300] "GET /web-ucp-psg/assets/images/psg-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:23 -0300] "GET /web-ucp-psg/assets/images/imagen-login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:28 -0300] "POST /web-ucp-psg/loginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:29 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:29 -0300] "GET /web-ucp-psg/assets/libs/chartist/dist/chartist.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/style.min.css HTTP/1.1" 200 273125
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/js/app-style-switcher.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/js/sidebarmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/libs/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/libs/chartist/dist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/js/waves.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/libs/chartist-plugin-tooltips/dist/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/js/pages/dashboards/dashboard1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/logo-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/logo-light-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/logo-light-text.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/logo-text.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/Prosegur.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/assets/images/users/lucho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/font-awesome/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/weather-icons/css/weather-icons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/material-design-iconic-font//fonts/materialdesignicons-webfont.woff2?v=1.8.36 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:21:30 -0300] "GET /web-ucp-psg/dist/css/icons/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:22:27 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23710
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:22:28 -0300] "GET /web-ucp-psg/assets/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:22:57 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23710
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:23:01 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23710
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:23:22 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:24:15 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23126
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:25:07 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:29:51 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:34:39 -0300] "GET /web-ucp-psg/LoginTUNEADO.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:35:14 -0300] "POST /web-ucp-psg/loginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:35:15 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:36:37 -0300] "GET /web-ucp-psg/AltaIntegranteTuneado.jsp HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:36:37 -0300] "GET /web-ucp-psg/dist/css/entrarsalir.css HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:37:47 -0300] "POST /web-ucp-psg/altaIntegranteS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:37:48 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:37:57 -0300] "GET /web-ucp-psg/LoginTUNEADO.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:47:19 -0300] "POST /web-ucp-psg/loginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:47:20 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:48:21 -0300] "GET /web-ucp-psg/miPerfilTUNEADO.jsp HTTP/1.1" 200 29123
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:48:21 -0300] "GET /web-ucp-psg/dist/css/icons/themify-icons/fonts/themify.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:49:04 -0300] "GET /web-ucp-psg/aplicarSancion.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:49:04 -0300] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:49:25 -0300] "GET /web-ucp-psg/RegistrarStockArmaTUNEADO.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:49:25 -0300] "GET /web-ucp-psg/dist/css/armasV.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:15:49:31 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 23039
